PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,3,1,22.0,1,0,7.25,1,N
2,1,0,38.0,1,0,71.2833,2,N
3,3,0,26.0,0,0,7.925,1,N
4,1,0,35.0,1,0,53.1,1,N
5,3,1,35.0,0,0,8.05,1,N
6,3,1,0.0,0,0,8.4583,3,N
7,1,1,54.0,0,0,51.8625,1,N
8,3,1,2.0,3,1,21.075,1,N
9,3,0,27.0,0,2,11.1333,1,N
10,2,0,14.0,1,0,30.0708,2,N
11,3,0,4.0,1,1,16.7,1,N
12,1,0,58.0,0,0,26.55,1,N
13,3,1,20.0,0,0,8.05,1,N
14,3,1,39.0,1,5,31.275,1,N
15,3,0,14.0,0,0,7.8542,1,N
16,2,0,55.0,0,0,16.0,1,N
17,3,1,2.0,4,1,29.125,3,N
18,2,1,0.0,0,0,13.0,1,N
19,3,0,31.0,1,0,18.0,1,N
20,3,0,0.0,0,0,7.225,2,N
21,2,1,35.0,0,0,26.0,1,N
22,2,1,34.0,0,0,13.0,1,N
23,3,0,15.0,0,0,8.0292,3,N
24,1,1,28.0,0,0,35.5,1,N
25,3,0,8.0,3,1,21.075,1,N
26,3,0,38.0,1,5,31.3875,1,N
27,3,1,0.0,0,0,7.225,2,N
28,1,1,19.0,3,2,263.0,1,N
29,3,0,0.0,0,0,7.8792,3,N
30,3,1,0.0,0,0,7.8958,1,N
31,1,1,40.0,0,0,27.7208,2,N
32,1,0,0.0,1,0,146.5208,2,N
33,3,0,0.0,0,0,7.75,3,N
34,2,1,66.0,0,0,10.5,1,N
35,1,1,28.0,1,0,82.1708,2,N
36,1,1,42.0,1,0,52.0,1,N
37,3,1,0.0,0,0,7.2292,2,N
38,3,1,21.0,0,0,8.05,1,N
39,3,0,18.0,2,0,18.0,1,N
40,3,0,14.0,1,0,11.2417,2,N
41,3,0,40.0,1,0,9.475,1,N
42,2,0,27.0,1,0,21.0,1,N
43,3,1,0.0,0,0,7.8958,2,N
44,2,0,3.0,1,2,41.5792,2,N
45,3,0,19.0,0,0,7.8792,3,N
46,3,1,0.0,0,0,8.05,1,N
47,3,1,0.0,1,0,15.5,3,N
48,3,0,0.0,0,0,7.75,3,N
49,3,1,0.0,2,0,21.6792,2,N
50,3,0,18.0,1,0,17.8,1,N
51,3,1,7.0,4,1,39.6875,1,N
52,3,1,21.0,0,0,7.8,1,N
53,1,0,49.0,1,0,76.7292,2,N
54,2,0,29.0,1,0,26.0,1,N
55,1,1,65.0,0,1,61.9792,2,N
56,1,1,0.0,0,0,35.5,1,N
57,2,0,21.0,0,0,10.5,1,N
58,3,1,28.5,0,0,7.2292,2,N
59,2,0,5.0,1,2,27.75,1,N
60,3,1,11.0,5,2,46.9,1,N
61,3,1,22.0,0,0,7.2292,2,N
62,1,0,38.0,0,0,80.0,0,N
63,1,1,45.0,1,0,83.475,1,N
64,3,1,4.0,3,2,27.9,1,N
65,1,1,0.0,0,0,27.7208,2,N
66,3,1,0.0,1,1,15.2458,2,N
67,2,0,29.0,0,0,10.5,1,N
68,3,1,19.0,0,0,8.1583,1,N
69,3,0,17.0,4,2,7.925,1,N
70,3,1,26.0,2,0,8.6625,1,N
71,2,1,32.0,0,0,10.5,1,N
72,3,0,16.0,5,2,46.9,1,N
73,2,1,21.0,0,0,73.5,1,N
74,3,1,26.0,1,0,14.4542,2,N
75,3,1,32.0,0,0,56.4958,1,N
76,3,1,25.0,0,0,7.65,1,N
77,3,1,0.0,0,0,7.8958,1,N
78,3,1,0.0,0,0,8.05,1,N
79,2,1,0.83,0,2,29.0,1,N
80,3,0,30.0,0,0,12.475,1,N
81,3,1,22.0,0,0,9.0,1,N
82,3,1,29.0,0,0,9.5,1,N
83,3,0,0.0,0,0,7.7875,3,N
84,1,1,28.0,0,0,47.1,1,N
85,2,0,17.0,0,0,10.5,1,N
86,3,0,33.0,3,0,15.85,1,N
87,3,1,16.0,1,3,34.375,1,N
88,3,1,0.0,0,0,8.05,1,N
89,1,0,23.0,3,2,263.0,1,N
90,3,1,24.0,0,0,8.05,1,N
91,3,1,29.0,0,0,8.05,1,N
92,3,1,20.0,0,0,7.8542,1,N
93,1,1,46.0,1,0,61.175,1,N
94,3,1,26.0,1,2,20.575,1,N
95,3,1,59.0,0,0,7.25,1,N
96,3,1,0.0,0,0,8.05,1,N
97,1,1,71.0,0,0,34.6542,2,N
98,1,1,23.0,0,1,63.3583,2,N
99,2,0,34.0,0,1,23.0,1,N
100,2,1,34.0,1,0,26.0,1,N
101,3,0,28.0,0,0,7.8958,1,N
102,3,1,0.0,0,0,7.8958,1,N
103,1,1,21.0,0,1,77.2875,1,N
104,3,1,33.0,0,0,8.6542,1,N
105,3,1,37.0,2,0,7.925,1,N
106,3,1,28.0,0,0,7.8958,1,N
107,3,0,21.0,0,0,7.65,1,N
108,3,1,0.0,0,0,7.775,1,N
109,3,1,38.0,0,0,7.8958,1,N
110,3,0,0.0,1,0,24.15,3,N
111,1,1,47.0,0,0,52.0,1,N
112,3,0,14.5,1,0,14.4542,2,N
113,3,1,22.0,0,0,8.05,1,N
114,3,0,20.0,1,0,9.825,1,N
115,3,0,17.0,0,0,14.4583,2,N
116,3,1,21.0,0,0,7.925,1,N
117,3,1,70.5,0,0,7.75,3,N
118,2,1,29.0,1,0,21.0,1,N
119,1,1,24.0,0,1,247.5208,2,N
120,3,0,2.0,4,2,31.275,1,N
121,2,1,21.0,2,0,73.5,1,N
122,3,1,0.0,0,0,8.05,1,N
123,2,1,32.5,1,0,30.0708,2,N
124,2,0,32.5,0,0,13.0,1,N
125,1,1,54.0,0,1,77.2875,1,N
126,3,1,12.0,1,0,11.2417,2,N
127,3,1,0.0,0,0,7.75,3,N
128,3,1,24.0,0,0,7.1417,1,N
129,3,0,0.0,1,1,22.3583,2,N
130,3,1,45.0,0,0,6.975,1,N
131,3,1,33.0,0,0,7.8958,2,N
132,3,1,20.0,0,0,7.05,1,N
133,3,0,47.0,1,0,14.5,1,N
134,2,0,29.0,1,0,26.0,1,N
135,2,1,25.0,0,0,13.0,1,N
136,2,1,23.0,0,0,15.0458,2,N
137,1,0,19.0,0,2,26.2833,1,N
138,1,1,37.0,1,0,53.1,1,N
139,3,1,16.0,0,0,9.2167,1,N
140,1,1,24.0,0,0,79.2,2,N
141,3,0,0.0,0,2,15.2458,2,N
142,3,0,22.0,0,0,7.75,1,N
143,3,0,24.0,1,0,15.85,1,N
144,3,1,19.0,0,0,6.75,3,N
145,2,1,18.0,0,0,11.5,1,N
146,2,1,19.0,1,1,36.75,1,N
147,3,1,27.0,0,0,7.7958,1,N
148,3,0,9.0,2,2,34.375,1,N
149,2,1,36.5,0,2,26.0,1,N
150,2,1,42.0,0,0,13.0,1,N
151,2,1,51.0,0,0,12.525,1,N
152,1,0,22.0,1,0,66.6,1,N
153,3,1,55.5,0,0,8.05,1,N
154,3,1,40.5,0,2,14.5,1,N
155,3,1,0.0,0,0,7.3125,1,N
156,1,1,51.0,0,1,61.3792,2,N
157,3,0,16.0,0,0,7.7333,3,N
158,3,1,30.0,0,0,8.05,1,N
159,3,1,0.0,0,0,8.6625,1,N
160,3,1,0.0,8,2,69.55,1,N
161,3,1,44.0,0,1,16.1,1,N
162,2,0,40.0,0,0,15.75,1,N
163,3,1,26.0,0,0,7.775,1,N
164,3,1,17.0,0,0,8.6625,1,N
165,3,1,1.0,4,1,39.6875,1,N
166,3,1,9.0,0,2,20.525,1,N
167,1,0,0.0,0,1,55.0,1,N
168,3,0,45.0,1,4,27.9,1,N
169,1,1,0.0,0,0,25.925,1,N
170,3,1,28.0,0,0,56.4958,1,N
171,1,1,61.0,0,0,33.5,1,N
172,3,1,4.0,4,1,29.125,3,N
173,3,0,1.0,1,1,11.1333,1,N
174,3,1,21.0,0,0,7.925,1,N
175,1,1,56.0,0,0,30.6958,2,N
176,3,1,18.0,1,1,7.8542,1,N
177,3,1,0.0,3,1,25.4667,1,N
178,1,0,50.0,0,0,28.7125,2,N
179,2,1,30.0,0,0,13.0,1,N
180,3,1,36.0,0,0,0.0,1,N
181,3,0,0.0,8,2,69.55,1,N
182,2,1,0.0,0,0,15.05,2,N
183,3,1,9.0,4,2,31.3875,1,N
184,2,1,1.0,2,1,39.0,1,N
185,3,0,4.0,0,2,22.025,1,N
186,1,1,0.0,0,0,50.0,1,N
187,3,0,0.0,1,0,15.5,3,N
188,1,1,45.0,0,0,26.55,1,N
189,3,1,40.0,1,1,15.5,3,N
190,3,1,36.0,0,0,7.8958,1,N
191,2,0,32.0,0,0,13.0,1,N
192,2,1,19.0,0,0,13.0,1,N
193,3,0,19.0,1,0,7.8542,1,N
194,2,1,3.0,1,1,26.0,1,N
195,1,0,44.0,0,0,27.7208,2,N
196,1,0,58.0,0,0,146.5208,2,N
197,3,1,0.0,0,0,7.75,3,N
198,3,1,42.0,0,1,8.4042,1,N
199,3,0,0.0,0,0,7.75,3,N
200,2,0,24.0,0,0,13.0,1,N
201,3,1,28.0,0,0,9.5,1,N
202,3,1,0.0,8,2,69.55,1,N
203,3,1,34.0,0,0,6.4958,1,N
204,3,1,45.5,0,0,7.225,2,N
205,3,1,18.0,0,0,8.05,1,N
206,3,0,2.0,0,1,10.4625,1,N
207,3,1,32.0,1,0,15.85,1,N
208,3,1,26.0,0,0,18.7875,2,N
209,3,0,16.0,0,0,7.75,3,N
210,1,1,40.0,0,0,31.0,2,N
211,3,1,24.0,0,0,7.05,1,N
212,2,0,35.0,0,0,21.0,1,N
213,3,1,22.0,0,0,7.25,1,N
214,2,1,30.0,0,0,13.0,1,N
215,3,1,0.0,1,0,7.75,3,N
216,1,0,31.0,1,0,113.275,2,N
217,3,0,27.0,0,0,7.925,1,N
218,2,1,42.0,1,0,27.0,1,N
219,1,0,32.0,0,0,76.2917,2,N
220,2,1,30.0,0,0,10.5,1,N
221,3,1,16.0,0,0,8.05,1,N
222,2,1,27.0,0,0,13.0,1,N
223,3,1,51.0,0,0,8.05,1,N
224,3,1,0.0,0,0,7.8958,1,N
225,1,1,38.0,1,0,90.0,1,N
226,3,1,22.0,0,0,9.35,1,N
227,2,1,19.0,0,0,10.5,1,N
228,3,1,20.5,0,0,7.25,1,N
229,2,1,18.0,0,0,13.0,1,N
230,3,0,0.0,3,1,25.4667,1,N
231,1,0,35.0,1,0,83.475,1,N
232,3,1,29.0,0,0,7.775,1,N
233,2,1,59.0,0,0,13.5,1,N
234,3,0,5.0,4,2,31.3875,1,N
235,2,1,24.0,0,0,10.5,1,N
236,3,0,0.0,0,0,7.55,1,N
237,2,1,44.0,1,0,26.0,1,N
238,2,0,8.0,0,2,26.25,1,N
239,2,1,19.0,0,0,10.5,1,N
240,2,1,33.0,0,0,12.275,1,N
241,3,0,0.0,1,0,14.4542,2,N
242,3,0,0.0,1,0,15.5,3,N
243,2,1,29.0,0,0,10.5,1,N
244,3,1,22.0,0,0,7.125,1,N
245,3,1,30.0,0,0,7.225,2,N
246,1,1,44.0,2,0,90.0,3,N
247,3,0,25.0,0,0,7.775,1,N
248,2,0,24.0,0,2,14.5,1,N
249,1,1,37.0,1,1,52.5542,1,N
250,2,1,54.0,1,0,26.0,1,N
251,3,1,0.0,0,0,7.25,1,N
252,3,0,29.0,1,1,10.4625,1,N
253,1,1,62.0,0,0,26.55,1,N
254,3,1,30.0,1,0,16.1,1,N
255,3,0,41.0,0,2,20.2125,1,N
256,3,0,29.0,0,2,15.2458,2,N
257,1,0,0.0,0,0,79.2,2,N
258,1,0,30.0,0,0,86.5,1,N
259,1,0,35.0,0,0,512.3292,2,N
260,2,0,50.0,0,1,26.0,1,N
261,3,1,0.0,0,0,7.75,3,N
262,3,1,3.0,4,2,31.3875,1,N
263,1,1,52.0,1,1,79.65,1,N
264,1,1,40.0,0,0,0.0,1,N
265,3,0,0.0,0,0,7.75,3,N
266,2,1,36.0,0,0,10.5,1,N
267,3,1,16.0,4,1,39.6875,1,N
268,3,1,25.0,1,0,7.775,1,N
269,1,0,58.0,0,1,153.4625,1,N
270,1,0,35.0,0,0,135.6333,1,N
271,1,1,0.0,0,0,31.0,1,N
272,3,1,25.0,0,0,0.0,1,N
273,2,0,41.0,0,1,19.5,1,N
274,1,1,37.0,0,1,29.7,2,N
275,3,0,0.0,0,0,7.75,3,N
276,1,0,63.0,1,0,77.9583,1,N
277,3,0,45.0,0,0,7.75,1,N
278,2,1,0.0,0,0,0.0,1,N
279,3,1,7.0,4,1,29.125,3,N
280,3,0,35.0,1,1,20.25,1,N
281,3,1,65.0,0,0,7.75,3,N
282,3,1,28.0,0,0,7.8542,1,N
283,3,1,16.0,0,0,9.5,1,N
284,3,1,19.0,0,0,8.05,1,N
285,1,1,0.0,0,0,26.0,1,N
286,3,1,33.0,0,0,8.6625,2,N
287,3,1,30.0,0,0,9.5,1,N
288,3,1,22.0,0,0,7.8958,1,N
289,2,1,42.0,0,0,13.0,1,N
290,3,0,22.0,0,0,7.75,3,N
291,1,0,26.0,0,0,78.85,1,N
292,1,0,19.0,1,0,91.0792,2,N
293,2,1,36.0,0,0,12.875,2,N
294,3,0,24.0,0,0,8.85,1,N
295,3,1,24.0,0,0,7.8958,1,N
296,1,1,0.0,0,0,27.7208,2,N
297,3,1,23.5,0,0,7.2292,2,N
298,1,0,2.0,1,2,151.55,1,N
299,1,1,0.0,0,0,30.5,1,N
300,1,0,50.0,0,1,247.5208,2,N
301,3,0,0.0,0,0,7.75,3,N
302,3,1,0.0,2,0,23.25,3,N
303,3,1,19.0,0,0,0.0,1,N
304,2,0,0.0,0,0,12.35,3,N
305,3,1,0.0,0,0,8.05,1,N
306,1,1,0.92,1,2,151.55,1,N
307,1,0,0.0,0,0,110.8833,2,N
308,1,0,17.0,1,0,108.9,2,N
309,2,1,30.0,1,0,24.0,2,N
310,1,0,30.0,0,0,56.9292,2,N
311,1,0,24.0,0,0,83.1583,2,N
312,1,0,18.0,2,2,262.375,2,N
313,2,0,26.0,1,1,26.0,1,N
314,3,1,28.0,0,0,7.8958,1,N
315,2,1,43.0,1,1,26.25,1,N
316,3,0,26.0,0,0,7.8542,1,N
317,2,0,24.0,1,0,26.0,1,N
318,2,1,54.0,0,0,14.0,1,N
319,1,0,31.0,0,2,164.8667,1,N
320,1,0,40.0,1,1,134.5,2,N
321,3,1,22.0,0,0,7.25,1,N
322,3,1,27.0,0,0,7.8958,1,N
323,2,0,30.0,0,0,12.35,3,N
324,2,0,22.0,1,1,29.0,1,N
325,3,1,0.0,8,2,69.55,1,N
326,1,0,36.0,0,0,135.6333,2,N
327,3,1,61.0,0,0,6.2375,1,N
328,2,0,36.0,0,0,13.0,1,N
329,3,0,31.0,1,1,20.525,1,N
330,1,0,16.0,0,1,57.9792,2,N
331,3,0,0.0,2,0,23.25,3,N
332,1,1,45.5,0,0,28.5,1,N
333,1,1,38.0,0,1,153.4625,1,N
334,3,1,16.0,2,0,18.0,1,N
335,1,0,0.0,1,0,133.65,1,N
336,3,1,0.0,0,0,7.8958,1,N
337,1,1,29.0,1,0,66.6,1,N
338,1,0,41.0,0,0,134.5,2,N
339,3,1,45.0,0,0,8.05,1,N
340,1,1,45.0,0,0,35.5,1,N
341,2,1,2.0,1,1,26.0,1,N
342,1,0,24.0,3,2,263.0,1,N
343,2,1,28.0,0,0,13.0,1,N
344,2,1,25.0,0,0,13.0,1,N
345,2,1,36.0,0,0,13.0,1,N
346,2,0,24.0,0,0,13.0,1,N
347,2,0,40.0,0,0,13.0,1,N
348,3,0,0.0,1,0,16.1,1,N
349,3,1,3.0,1,1,15.9,1,N
350,3,1,42.0,0,0,8.6625,1,N
351,3,1,23.0,0,0,9.225,1,N
352,1,1,0.0,0,0,35.0,1,N
353,3,1,15.0,1,1,7.2292,2,N
354,3,1,25.0,1,0,17.8,1,N
355,3,1,0.0,0,0,7.225,2,N
356,3,1,28.0,0,0,9.5,1,N
357,1,0,22.0,0,1,55.0,1,N
358,2,0,38.0,0,0,13.0,1,N
359,3,0,0.0,0,0,7.8792,3,N
360,3,0,0.0,0,0,7.8792,3,N
361,3,1,40.0,1,4,27.9,1,N
362,2,1,29.0,1,0,27.7208,2,N
363,3,0,45.0,0,1,14.4542,2,N
364,3,1,35.0,0,0,7.05,1,N
365,3,1,0.0,1,0,15.5,3,N
366,3,1,30.0,0,0,7.25,1,N
367,1,0,60.0,1,0,75.25,2,N
368,3,0,0.0,0,0,7.2292,2,N
369,3,0,0.0,0,0,7.75,3,N
370,1,0,24.0,0,0,69.3,2,N
371,1,1,25.0,1,0,55.4417,2,N
372,3,1,18.0,1,0,6.4958,1,N
373,3,1,19.0,0,0,8.05,1,N
374,1,1,22.0,0,0,135.6333,2,N
375,3,0,3.0,3,1,21.075,1,N
376,1,0,0.0,1,0,82.1708,2,N
377,3,0,22.0,0,0,7.25,1,N
378,1,1,27.0,0,2,211.5,2,N
379,3,1,20.0,0,0,4.0125,2,N
380,3,1,19.0,0,0,7.775,1,N
381,1,0,42.0,0,0,227.525,2,N
382,3,0,1.0,0,2,15.7417,2,N
383,3,1,32.0,0,0,7.925,1,N
384,1,0,35.0,1,0,52.0,1,N
385,3,1,0.0,0,0,7.8958,1,N
386,2,1,18.0,0,0,73.5,1,N
387,3,1,1.0,5,2,46.9,1,N
388,2,0,36.0,0,0,13.0,1,N
389,3,1,0.0,0,0,7.7292,3,N
390,2,0,17.0,0,0,12.0,2,N
391,1,1,36.0,1,2,120.0,1,N
392,3,1,21.0,0,0,7.7958,1,N
393,3,1,28.0,2,0,7.925,1,N
394,1,0,23.0,1,0,113.275,2,N
395,3,0,24.0,0,2,16.7,1,N
396,3,1,22.0,0,0,7.7958,1,N
397,3,0,31.0,0,0,7.8542,1,N
398,2,1,46.0,0,0,26.0,1,N
399,2,1,23.0,0,0,10.5,1,N
400,2,0,28.0,0,0,12.65,1,N
401,3,1,39.0,0,0,7.925,1,N
402,3,1,26.0,0,0,8.05,1,N
403,3,0,21.0,1,0,9.825,1,N
404,3,1,28.0,1,0,15.85,1,N
405,3,0,20.0,0,0,8.6625,1,N
406,2,1,34.0,1,0,21.0,1,N
407,3,1,51.0,0,0,7.75,1,N
408,2,1,3.0,1,1,18.75,1,N
409,3,1,21.0,0,0,7.775,1,N
410,3,0,0.0,3,1,25.4667,1,N
411,3,1,0.0,0,0,7.8958,1,N
412,3,1,0.0,0,0,6.8583,3,N
413,1,0,33.0,1,0,90.0,3,N
414,2,1,0.0,0,0,0.0,1,N
415,3,1,44.0,0,0,7.925,1,N
416,3,0,0.0,0,0,8.05,1,N
417,2,0,34.0,1,1,32.5,1,N
418,2,0,18.0,0,2,13.0,1,N
419,2,1,30.0,0,0,13.0,1,N
420,3,0,10.0,0,2,24.15,1,N
421,3,1,0.0,0,0,7.8958,2,N
422,3,1,21.0,0,0,7.7333,3,N
423,3,1,29.0,0,0,7.875,1,N
424,3,0,28.0,1,1,14.4,1,N
425,3,1,18.0,1,1,20.2125,1,N
426,3,1,0.0,0,0,7.25,1,N
427,2,0,28.0,1,0,26.0,1,N
428,2,0,19.0,0,0,26.0,1,N
429,3,1,0.0,0,0,7.75,3,N
430,3,1,32.0,0,0,8.05,1,N
431,1,1,28.0,0,0,26.55,1,N
432,3,0,0.0,1,0,16.1,1,N
433,2,0,42.0,1,0,26.0,1,N
434,3,1,17.0,0,0,7.125,1,N
435,1,1,50.0,1,0,55.9,1,N
436,1,0,14.0,1,2,120.0,1,N
437,3,0,21.0,2,2,34.375,1,N
438,2,0,24.0,2,3,18.75,1,N
439,1,1,64.0,1,4,263.0,1,N
440,2,1,31.0,0,0,10.5,1,N
441,2,0,45.0,1,1,26.25,1,N
442,3,1,20.0,0,0,9.5,1,N
443,3,1,25.0,1,0,7.775,1,N
444,2,0,28.0,0,0,13.0,1,N
445,3,1,0.0,0,0,8.1125,1,N
446,1,1,4.0,0,2,81.8583,1,N
